theta_deg,I,I_fit,residual
0,22.65,23.730618418046433,-1.0806184180464342
5,15.2,15.349705836169512,-0.14970583616951316
10,7.47,8.642625731681505,-1.1726257316815056
15,2.82,3.8131693396110045,-0.9931693396110046
20,0.8,1.0080772486082026,-0.20807724860820254
25,0.55,0.31258076241314825,0.2374192375868518
30,2.26,1.7478121898206567,0.5121878101793431
35,5.65,5.27016275017111,0.3798372498288902
40,11.9,10.772607604083646,1.1273923959163543
45,21.05,18.087957749043568,2.962042250956433
50,26.75,26.993939972642067,-0.24393997264206746
55,37.85,37.219950511659526,0.6300494883404752
60,50.75,48.45527721047894,2.2947227895210602
65,58.2,60.35854035270634,-2.158540352706339
70,73.0,72.56806531110686,0.43193468889313635
75,85.05,84.71287184813731,0.33712815186268585
80,93.0,96.42394616273859,-3.423946162738588
85,102.0,107.34545318795112,-5.345453187951122
90,112.65,117.14554845936304,-4.495548459363036
95,130.65,125.52646104123997,5.123538958760037
100,135.15,132.23354114572797,2.9164588542720367
105,139.5,137.06299753779848,2.4370024622015194
110,139.75,139.86808962880127,-0.11808962880127183
