m,alpha_true_deg,implied_specific_deg_per_dm_per_gpermL,ee_percent
-10,-1734.1301205841169,-498.42052803437207,539.416155881355
-9,-1554.1301205841169,-446.6852551264962,483.42560078625127
-8,-1374.1301205841169,-394.94998221862033,427.43504569114754
-7,-1194.1301205841169,-343.21470931074447,371.44449059604375
-6,-1014.1301205841169,-291.4794364028686,315.45393550094
-5,-834.1301205841169,-239.74416349499273,259.46338040583623
-4,-654.1301205841169,-188.00889058711687,203.47282531073253
-3,-474.13012058411687,-136.273617679241,147.48227021562877
-2,-294.13012058411687,-84.53834477136513,91.49171512052503
-1,-114.13012058411688,-32.803071863489265,35.501160025421285
0,65.86987941588312,18.932201044386602,-20.489395069682466
1,245.86987941588313,70.66747395226247,-76.47995016478622
2,425.86987941588313,122.40274686013834,-132.47050525988996
3,605.8698794158831,174.1380197680142,-188.46106035499372
4,785.8698794158831,225.87329267589007,-244.45161545009748
5,965.8698794158831,277.60856558376594,-300.44217054520124
6,1145.8698794158831,329.3438384916418,-356.43272564030497
7,1325.8698794158831,381.07911139951767,-412.4232807354087
8,1505.8698794158831,432.81438430739354,-468.4138358305124
9,1685.8698794158831,484.5496572152694,-524.4043909256162
10,1865.8698794158831,536.2849301231453,-580.3949460207199
