theta_deg,I,I_fit,residual
0,149.5,148.42567635629044,1.0743236437095618
5,130.0,127.21619435476366,2.7838056452363418
10,104.25,105.81452206376301,-1.5645220637630075
15,84.0,84.87093846608178,-0.8709384660817818
20,65.0,65.02180375137087,-0.021803751370867985
25,43.5,46.87022383378995,-3.37022383378995
30,30.0,30.967725283992124,-0.9677252839921238
35,17.6,17.797497473360437,-0.19749747336043555
40,7.8,7.759711109464064,0.040288890535935984
45,2.5,1.1593592516050393,1.3406407483949607
50,0.55,-1.8030097489547643,2.353009748954764
55,0.8,-1.037385809164448,1.837385809164448
60,4.55,3.4329679749899498,1.11703202501005
65,10.35,11.472222165885,-1.1222221658850007
70,22.9,22.836108092989292,0.06389190701070646
75,33.3,37.179339832811515,-3.8793398328115174
80,55.45,54.06610554696258,1.3838944530374206
