m,alpha_true_deg,implied_specific_deg_per_dm_per_gpermL,ee_percent
-10,-1761.4755865613186,-506.28011217394743,547.9221993224538
-9,-1581.4755865613186,-454.54483926607156,491.9316442273501
-8,-1401.4755865613186,-402.8095663581957,435.94108913224636
-7,-1221.4755865613186,-351.07429345031983,379.95053403714263
-6,-1041.4755865613186,-299.33902054244396,323.95997894203884
-5,-861.4755865613186,-247.6037476345681,267.9694238469351
-4,-681.4755865613186,-195.86847472669223,211.97886875183136
-3,-501.47558656131855,-144.13320181881636,155.98831365672763
-2,-321.47558656131855,-92.39792891094048,99.9977585616239
-1,-141.47558656131858,-40.662656003064626,44.00720346652015
0,38.52441343868142,11.072616904811245,-11.983351628583597
1,218.52441343868142,62.80788981268711,-67.97390672368734
2,398.52441343868145,114.54316272056299,-123.9644618187911
3,578.5244134386814,166.27843562843884,-179.95501691389484
4,758.5244134386814,218.0137085363147,-235.94557200899862
5,938.5244134386814,269.7489814441906,-291.93612710410235
6,1118.5244134386814,321.48425435206644,-347.9266821992061
7,1298.5244134386814,373.2195272599423,-403.91723729430987
8,1478.5244134386814,424.9548001678182,-459.9077923894136
9,1658.5244134386814,476.69007307569404,-515.8983474845173
10,1838.5244134386814,528.42534598357,-571.8889025796211
