theta_deg,I,I_fit,residual
0,1.2,1.0248669024761767,0.17513309752382322
5,0.23,0.14938527131900958,0.08061472868099043
10,1.7,1.8190386115524895,-0.11903861155248951
15,5.4,5.983095351319014,-0.583095351319014
20,13.05,12.515032733695147,0.5349672663048537
25,20.0,21.216381146637172,-1.216381146637172
30,31.5,31.822754521712618,-0.32275452171261776
35,45.0,44.0118835710037,0.9881164289962996
40,56.75,57.41340777634463,-0.6634077763446271
45,74.5,71.62012860625458,2.879871393745418
50,86.75,86.20038203726433,0.5496179627356668
55,101.0,100.71115444683691,0.28884555316308536
60,112.9,114.71154335811256,-1.8115433581125586
65,125.25,127.77615403856083,-2.5261540385608328
70,139.0,139.50802490366826,-0.5080249036682574
75,150.9,149.55068899381172,1.3493110061882874
80,158.25,157.59900504244533,0.6509949575546727
85,163.75,163.40842903907588,0.3415709609241162
90,166.75,166.80244457527607,-0.05244457527606983
95,168.15,167.67792620643326,0.47207379356675006
100,165.5,166.00827286619975,-0.5082728661997464
