m,alpha_true_deg,implied_specific_deg_per_dm_per_gpermL,ee_percent
-10,-1714.2181199008598,-492.6974569816492,533.2223560407459
-9,-1534.2181199008598,-440.96218407377336,477.23180094564214
-8,-1354.2181199008598,-389.2269111658975,421.2412458505384
-7,-1174.2181199008598,-337.4916382580216,365.2506907554346
-6,-994.21811990086,-285.75636535014576,309.2601356603309
-5,-814.21811990086,-234.02109244226992,253.26958056522713
-4,-634.21811990086,-182.28581953439405,197.2790254701234
-3,-454.21811990085996,-130.55054662651818,141.28847037501967
-2,-274.21811990085996,-78.81527371864232,85.29791527991591
-1,-94.21811990085993,-27.08000081076644,29.307360184812158
0,85.78188009914007,24.655272097109428,-26.68319491029159
1,265.78188009914004,76.39054500498528,-82.67375000539532
2,445.78188009914004,128.12581791286115,-138.66430510049906
3,625.78188009914,179.86109082073702,-194.65486019560282
4,805.78188009914,231.59636372861289,-250.64541529070658
5,985.78188009914,283.3316366364888,-306.6359703858103
6,1165.7818800991402,335.06690954436465,-362.6265254809141
7,1345.7818800991402,386.8021824522405,-418.6170805760178
8,1525.7818800991402,438.5374553601164,-474.60763567112156
9,1705.7818800991402,490.27272826799225,-530.5981907662253
10,1885.7818800991402,542.0080011758681,-586.5887458613291
