theta_deg,I,I_fit,residual
0,52.0,51.818357687897674,0.1816423121023263
5,52.3,51.233329703893915,1.066670296106082
10,50.5,49.843998146512135,0.6560018534878651
15,48.5,47.6925771520877,0.8074228479122993
20,43.8,44.84443655886463,-1.044436558864632
25,41.0,41.38611567753933,-0.38611567753932974
30,37.4,37.42269383809608,-0.02269383809608172
35,35.65,33.07459760753813,2.575402392461868
40,27.95,28.473941689588123,-0.5239416895881241
45,22.6,23.760514686268753,-1.1605146862687512
50,16.8,19.07753169196673,-2.277531691966729
55,13.6,14.567282775260182,-0.9672827752601822
60,9.4,10.366809567187172,-0.9668095671871715
65,5.5,6.603741320632979,-1.1037413206329791
70,3.02,3.3924169600647573,-0.37241696006475733
75,1.57,0.8304109511698248,0.7395890488301753
80,0.83,-1.0044314499091296,1.8344314499091294
85,0.11,-2.0563594852903826,2.1663594852903825
90,0.12,-2.2934108539201468,2.413410853920147
95,0.15,-1.708382869916381,1.858382869916381
100,0.22,-0.3190513125346022,0.5390513125346023
105,0.24,1.8323696818898403,-1.5923696818898403
110,0.26,4.680510275112908,-4.420510275112909
