m,alpha_true_deg,implied_specific_deg_per_dm_per_gpermL,ee_percent
-10,-1798.939569232446,-874.4304681604488,-1314.9330348277424
-9,-1618.939569232446,-786.9358758123369,-1183.362219266672
-8,-1438.939569232446,-699.4412834642251,-1051.7914037056016
-7,-1258.939569232446,-611.9466911161132,-920.2205881445311
-6,-1078.939569232446,-524.4520987680014,-788.6497725834607
-5,-898.939569232446,-436.95750641988957,-657.0789570223903
-4,-718.939569232446,-349.46291407177773,-525.50814146132
-3,-538.939569232446,-261.9683217236659,-393.9373259002495
-2,-358.939569232446,-174.47372937555406,-262.366510339179
-1,-178.939569232446,-86.9791370274422,-130.79569477810855
0,1.0604307675540054,0.5154553206696281,0.7751207829618466
1,181.060430767554,88.01004766878147,132.34593634403228
2,361.060430767554,175.50464001689332,263.91675190510267
3,541.060430767554,262.9992323650051,395.48756746617306
4,721.060430767554,350.49382471311696,527.0583830272435
5,901.060430767554,437.9884170612288,658.6291985883139
6,1081.060430767554,525.4830094093406,790.2000141493843
7,1261.060430767554,612.9776017574525,921.7708297104547
8,1441.060430767554,700.4721941055643,1053.341645271525
9,1621.060430767554,787.9667864536761,1184.9124608325956
10,1801.060430767554,875.461378801788,1316.483276393666
