theta_deg,I,I_fit,residual
0,91.05,91.56600815592617,-0.5160081559261727
10,96.45,97.61407426549889,-1.1640742654988827
20,97.3,97.73745268476918,-0.437452684769184
30,92.35,91.92126215550151,0.4287378444984853
40,83.3,80.86702109335577,2.432978906644223
50,69.35,65.90803411364959,3.4419658863504026
60,47.1,48.84857581727056,-1.7485758172705559
70,27.15,31.7462686455521,-4.596268645552101
80,15.7,16.663903246575625,-0.9639032465756259
90,6.17,5.420635479464262,0.749364520535738
100,1.27,-0.62743063010846,1.89743063010846
110,0.47,-0.7508090493787449,1.220809049378745
120,5.24,5.0653814798889165,0.1746185201110837
130,15.2,16.11962254203467,-0.91962254203467
