m,alpha_true_deg,implied_specific_deg_per_dm_per_gpermL,ee_percent
-10,-1815.2037819253735,-882.3361940461748,-1326.8213444303378
-9,-1635.2037819253735,-794.841601698063,-1195.2505288692673
-8,-1455.2037819253735,-707.3470093499511,-1063.679713308197
-7,-1275.2037819253735,-619.8524170018393,-932.1088977471265
-6,-1095.2037819253735,-532.3578246537274,-800.5380821860562
-5,-915.2037819253735,-444.86323230561555,-668.9672666249858
-4,-735.2037819253735,-357.3686399575037,-537.3964510639153
-3,-555.2037819253735,-269.8740476093919,-405.8256355028449
-2,-375.20378192537345,-182.37945526128001,-274.25481994177443
-1,-195.20378192537348,-94.88486291316819,-142.68400438070404
0,-15.203781925373466,-7.390270565056347,-11.113188819633603
1,164.79621807462652,80.10432178305548,120.45762674143681
2,344.79621807462655,167.59891413116733,252.02844230250724
3,524.7962180746265,255.09350647927914,383.59925786357763
4,704.7962180746265,342.588098827391,515.1700734246481
5,884.7962180746265,430.0826911755028,646.7408889857185
6,1064.7962180746265,517.5772835236147,778.311704546789
7,1244.7962180746265,605.0718758717265,909.8825201078594
8,1424.7962180746265,692.5664682198384,1041.4533356689299
9,1604.7962180746265,780.0610605679502,1173.0241512300001
10,1784.7962180746265,867.5556529160621,1304.5949667910706
